,여의도한강공원리뷰
1430,개꿀 돗자리 에서 동생들과 라면먹고 게임 했는데 좋고 풍경도 좋아요
1431,따릉이 자전거를 타고 한강에서 강서구청까지 남친이랑즐거운자전거 데이트^^
1432,구국연합찬양제가 10월 3일에 있어사 다녀왔어요.
1433,연인과 소중한 추억 만들기 좋아요. 텐트빌려서 누워있으면 잠이 솔솔 옴
1434,"산책하기 좋고, 밤에 은박지 라면하나 먹으면 그렇게 좋더군요"
1435,야경이 좋아요! 영화 괴물 실사 조각도 아이가 좋아해요.
1436,자주찾는곳. 아이들과 같이 나와 놀기 좋아요. 나무 그늘 아래 자리 찾기가 쉽지 않아요.
1437,한강과 함께 한다는 건 매우 좋은 경험이다. 쓰레기 통이 적다는 거 빼고는 아주 좋다.
1438,텐트치고 나들이가기 좋음
1439,강가의 시원한 바람 도시의 야경 시원하게 흐르는 냇가에 발을 담그고 한여름밤의 무더위를 날리기에 최고의 장소 입니다
1440,닭꼬치가 예술이네요
1441,집근처에 있어 저녁에 자주이용합니다. 산책하기 좋아요.
1442,사람들이 몰려서 너무 시끄럽고 지저분. 서로 공중도덕을 지킨다면 더 기분좋게 많은 것을 즐길 수 있을텐데...
1443,"기대하고 갔는데 별로 볼거없고 산책,운동용으론 좋아보여요"
1444,좋아요 시원하고  가슴이  뻥뚫린듯  밤에는 정말 좋은 시간 보내세요
1445,데이트코스로 좋아요
1446,한강공원 너무 좋아요. 아 참고로 전단지는 하나도 안 받은 사람은 있어도 한 장만 받는 사람 없습니다.
1447,넘 좋아요   관리가  잘되어있어요...그리고 자전거도 있고...재미나요
1448,지금은 춥고 바람이 많이 불어요 파라솔도 치워버려서 별로에요
1449,텐트 빌려서 배달 시켜먹으면 좋아요 새로운 추억도 만들수잇어서 좋앗어용
1450,부담없이 즐길수 있는 한강이 보이는 공원인데 야경도 좋습니다.
1451,무료로 이용할수 있는 파크골프
1452,코로나가 끝나가서 그런지 사람이 엄청 많네요. 오랜만입니다.
1453,공연도있고 영화도있고각종먹거리와수제장신구와향수등볼거리먹거리등다양한경험
1454,서울에 이정도 공간이 있다는 건 고마운 일 입니다. 앞으로도 더욱 관리를 잘 했으면 좋겠습니다.
1455,다리위 해맞이? 느껴보세요---
1456,자주 다니는 공원입니다. 쾌적하고 한강이 있어 아주 좋아요.
1457,늘 편안하고 정감있는 장소입니다 오랜만에 가서 좋았어요
1458,나만 이성친구 없어서 아주아주 불편했음
1459,한강공원은 언제나 좋다.
1460,낮에도 좋지만 해질 무력 노을이 지는 그 시간에 자전고를 타면 정말 감성터지는 장소이다
1461,시원해요~~~~
1462,벚꽃 보러갔는데 시기를 놓쳐 못보고옴ㅡㅡ 편의점 들러 끓이는 라면만 실컷먹음ㅋ
1463,"여유롭게 앉아서 맥주한잔하며 시간보내기 좋은 곳 단, 사람 적은 곳을 잘 찾아야함"
1464,아무리 날씨가 좋아도 마스크좀 쓰고다녀라 금수새끼들아 느그들때매 5분있다가 병걸릴까봐 바로 쨌다
1465,친구랑 함께하면서 돚자리깔고 김밥도먹고 커피도마시면서 시원한 한강공원에서 힐링을하기에 너무좋았다.
1466,사람 개많음 진짜 놀기 안좋은곳
1467,날씨가 풀리니 사람 많아요
1468,걷기도 좋고 자전거타기도 좋다. 사람많을때는 피해서 가야 더좋다.
1469,"낮에는 산책, 운동 하기 좋고 저녁에는 가만히 있으면서 바람 느끼기 좋음"
1470,여유롭게 시간보내기 좋아요
1471,여의도 사랑해.. 야경 쵝오
1472,다 좋은데 주차만..ㅠ
1473,사람은 많은디... 뭔가 이상하게 할게없기도 하고 자연경관 구경외엔 가지않는게 나을듯하다.
1474,여의도 한강공원 산책.
1475,연인과 산책하기 좋은 곳 텐트하고 돗자리도 빌려주네요
1476,산책하기 좋은 곳이죠. 너무 가까이 있는 것은 좋지 않네요.
1477,버스킹하는것도 좋았고 사람도 많이 있어서 좋았어요 여러모로 심심할때 가면 좋아요
1478,말이 필요없어요~^^ 너무 좋아요~^^ ㅋㅋ 특히 밤에 대박
1479,데이트하기 좋은곳
1480,잡상인이 너무 많음
1481,"여의도한강공원은, 여의나루쪽은 사람들 바글바글해서 비추, 갈꺼면 그나마 63빌딩쪽이 좋음"
1482,천만 서울시민의 추억이 쓰여지는 곳.
1483,"좋아! 힐링도 좋고~가족, 연인 다 좋은데 ~인간적으로 쓰레기는 쓰레기통에 넣으시라!!"
1484,산책하기 좋은데 산책로가 그늘이 아니라 여름철엔 비추
1485,"좀 인위적이긴 하지만 발전해 나가는 모습이 좋고,  한강공원은 언제나 옳다."
1486,깨끗한 바람과 수질오염없는 강물에 기분이 맑고 밝고 아름다워진다.
1487,주차장도 방문객에 비해 적고 편의 시설도 부족해요
1488,날씨가 좋아서 아주 좋았어요. 산보하고 가볍게 운동하기 좋아요.
1489,좋은데 좋아서 그런가 사람이 너무 많고 옆자리에 모의 UN회의가 열리고 있어서
1490,주말이였지만  많은 사람들이 어울여 공감하고  즐기는 모습이 너무좋았어요^^*
1491,난 한강공원이 서울만의 독특한 멋이자 가장 큰 장점이라고 생각함
1492,너무 좋아요. 혼자 가는게 심심할꺼니까 여자친구랑 꼭같이 가는게 추천 합니다.
1493,한강공원은 그냥 좋아요
1494,가족나들이로 추천해볼만합니다 불꽃놀이도 멋지구요
1495,청춘들이 매일매일 넘쳐나는곳.  10월 말까진 주말마다 밤도깨비야시장도 열림다요.
1496,바닥에 유리조각이 많고 흐르는 물속엔 각종 쓰레기와 음식물들이..
1497,날씨 좋을 때 여기서 누워만 있어도 만족
1498,사람이 좀 많지만 그래도 벚꽃 보고 길거리 음식 먹고 나니 재미있었던 곳입니다!
1499,자유로운 분위기..젊어지는 느낌..
1500,한강공원 좋져 좋아요 다들 나들이 가세요~
1501,봄가을의 한강 공원은 언제나 좋져~ 화장실이 불편할 뿐
1502,겨울추위도.걱저멊어요.낭만과.볼거리한강의운치까지.너무좋아요.
1503,한강수위가약간올라간듯  한강물도투명못하고흑탕물이다 바람산들산들분다 시원하다햇볓구름속으로숨어잇다 우리는걸어서당산왓다
1504,공원에 설치되어있는 그물 의자가 정말 편안하고 젛아요
1505,사람 많음. 좋음. 한강인데 갈매기들이 많음. 새우깡 챙겨가세요 ㅋ
1506,예전과는 많이 달라진 한강공원  놀거리 먹거리 가득하고 젊은을 느낄 수 있는곳
1507,날씨 너무 좋아서 자전거도 타고 잘 쉬다 왔어요
1508,날씨 좋고 화창하나 사람이 진짜 많다 너무 많다
1509,산책하기 좋고 요즘 강바람 좋아요
1510,사람구경하고 야경도보고 분위기도 낭만적이라 괜찮은거같아요
1511,언제가도 최고
1512,데이트하기 좋은 장소 날씨가 좋다면 음식을 싸들고 삼삼오오 모여서 여의도 한강공원으로 오라
1513,"오후에는 젊은 사람들로 붐비고, 오전에는 탁트인 한강을 보며 사색에 잠기기 좋은 곳이다."
1514,불꽃죽제는  전과 비슷했지만  화장실이 많이 생겨 불편함이 덜했어요~
1515,한적하고 아름다운 경치
1516,미세먼지 많으니까 종로구 창신동 포대포에서 돼지꼬리로 미세먼지를 빼내는게 좋지 않을가?
1517,간이 화장실 관리만 조금더 신경쓰고 주차비 저렴하면 매주 가고싶음
1518,"모여 잔디밭에 앉아 놀기 좋은데, 사람 많은 곳은 너무 시끄럽다"
1519,날씨 좋은날 가면 이보다 좋을수없..
1520,"접근성, 이용율, 편안함으로 보면 제일 좋은 것중 하나로 판단됨"
1521,서울 여의도에서 살고싶다는 생각이 들만큼 야경이 예쁘고 풍경이 예쁘다
1522,날씨가 좋은날
1523,한강위에 떠있는 물빛무대가 멎집니다 공연도 참관했습니디ㅡ
1524,자전거 타기도 좋고 돗자리펴고 누워있기도 좋아요 ㅎㅎ
1525,각박한 도시에서 한 줌 여유를 누릴 수 있는 공원. 산책을 하기에 좋은 장소.
1526,역시 한강 공원. 자전거 타는 것도 재미있습니다. 단 3000원으로 빌릴 수 있는 것도 좋습니다 ㅎㅎ
1527,100회 전국체전중 철인 3종경기를 하는데.. 다들 열심히..
1528,너무시원하고.마음상쾌
1529,날씨 좋은날 거닐면 아주 좋아요. 텐트치고 놀 수 있습니다
1530,사람이 없으면 모래심하게 날라다님...
1531,한적하면서도 넓고 자전거를 타거나 조용히 쉬고싶을때 가기 좋은곳
1532,너무나 많은 인공시설들 때문에 어수선하고 잔디나 보도 등 망가진 곳이 많아요.
1533,18년도에  여의나루  갔다왔는데 잔디가 많이 짋발아졌어 안좋아 보여는데 19년도에는 많이좋았졌어요
1534,ㄹㅇ 시켜먹는거 말곤 아침에 할거 없음 밤에가는걸 추천..
1535,삭막한도시 속 공원 탠트 대여 후 잔디에 설치하고 놀수있음 더워지면 힘들듯 배달존이있어서 배달시키먼받아먹을수있음 한참 축제기간엔 오토바이나대중교통 사용 권장
1536,말할것도 없이 좋은 곳 서울사람들의 마음의 휴식처 치킨한마리 먹기좋음
1537,너무너무좋았어요 깨끗하고 분위기도좋고 다음시간나면또가고싶어요
1538,"솔직히 사람만 없다면 굉장히 좋은장소, 아쉬운건 밤도깨비야시장같은 행사시에 쓰레기통을 좀더 늘려줬으면 좋겠다"
1539,산책하거나 앉아있을 공간들이 있어서 좋아요
1540,좋긴 한데 호객행위가 좀 쎄네요. 들어가는길에 전단지만 한 10여개 받은거 같네요.
1541,공원에재미있는것이많고편의시설도잘갖춰저있다
1542,여름엔 발도 담글 수 있는 물가가 있어서 좋아요
1543,산책하고 바람쐬기 좋습니다. 휴일에 주차는 지옥에 가까우니 대중교통이 훨씬 낫습니다.
1544,시원하고 다 좋았지만 전동휠을 공원에서 못타는게 아쉬웠고 사람이 많음
1545,산책하기 최고! 자전거도 타기 좋아요 빌려서 타는 건 비싸지만!?
1546,"예쁜 하늘, 많은 사람들"
1547,여유롭게 산책하기좋고 애들이 놀수있는 큰분수가있음
1548,한강공원에 곳곳에 숼곳이있고  특히 그말로된 누울  수 있는  곳이 좋았씁니다 ᆢ 다만     눕는 곳은  여름엔 햇빛 땜에활용하기 어려울듯합니다
1549,돗자리 하나만 있으면 아주 시원하게 낮잠 잘 수 있고 좋아요
1550,"서울시내에서 몇 안가는 좋은 곳 인데, 행사 후 쓰레기는 가져갔으면. . ."
1551,밖에서 치킨시켜먹기 아주좋다. 한강근처로사무실 옮겨야할 이유가 있다
1552,바람 살살~불고 늦게가니 조용~~하니 산책하기 딱 좋네요
1553,서울이 우리나라 수도인 이유
1554,자전거로 양화한강공원에서 여의도 한강공원 가는데 죽을뻔함 ㅠㅠ 길도 헤매고 하지만 존잼 그리고 맥주는 편의점에서 사면 미지근 할수있고 치킨은 거의 창렬임 ㅠ
1555,시원한 강 바람 쏘이면서 먹거리까지 있으니좋네요 생각보다 지저분한진않았구요 음식도 먹을만했어요
1556,강 근처라 시원하고 근처 먹거리나 편의점 등이 잘 되어있어요
1557,사람이 많긴 하지만 저녁에 맥주한잔하기에는 아주 좋아요
1558,여의도나루옆 주차장 무료 하세요  무료 무료
1559,좋아~~  사람은 많지만 지금날씨 산책하고 맛난거 먹기 따좋으다
1560,여의나루역 1번 출구로 가시면 따릉이 주차위치에 자전거 공기 주입 가능합니다
1561,날씨 좋은날 산책하기 자전거 타기 좋습니다
1562,가족끼리 나들이가면 최고에요 한강을보니 마음이 편하고 좋아요
1563,"한강공원은 여기말고도 좋은 곳이 더 있고, 한적한 것을 좋아한다면 정말 별로일수도..."
1564,차량과 그늘막이 있다면 정말 평화롭고 저렴한 시간을 보낼 수 있는 곳
1565,한강에서 시간보내기 좋고 63 IFC몰 이랜드크루즈(유람선) 다 한번쯤 와볼만한 장소
1566,버스킹도 많이 하고 날씨만 괜찮으면 돗자리깔고 소풍오기 좋은곳
1567,사람이 엄청 많고 잔디가 다 죽어가요 ㅋㅋ 배달해먹기는 짱 잘대있는데 너무 복잡하네요
1568,날씨 좋을때 가면 너무 좋아요 ㅎ
1569,선선한 날씨에 노을 보며 좋은 사람들과 맥주한잔.. 정말 좋습니다~!
1570,말해뭐해 한강공원의 중심아닌가 야시장부터 각종 행사까지 특히 한화에서 하는 라이프플러스거 이벤트를 엄청해서 북적북적댄다
1571,사람이 너무많음. 돗자리필수!길거리 음식은 모두 맛없음..죄다싹다
1572,저녁에 시원하고 돗자리 빌려서 쉬다오기 최고예요
1573,아름다운 추억이 있는곳.
1574,사람이너무 많은것을빼고 강을볼수있는 정말좋은 공원
1575,라면맛좋음
1576,매년 10월 초에 불꽃축제를 할때나  봄에 벚꽃 축제!  강추해요
1577,밤 여의도 좋습니다
1578,넓은 장소에 많은 인원을 수용할 수 있으며 한강을 즐기기에 적합함
1579,텐트와 치킨이면 안성맞춤인 여의도한강공원..! 사람이 많을 때는 여의나루역이 굉장히 붐비니 참고하세요!
1580,공기 시원하고 서강대교 아래 운동기구도 좋아요.
1581,"선선한 바람, 맛있는 치킨, 시원한 맥주, 사랑하는 사람. 더 이상 말이 필요 없습니다."
1582,교통이 혼잡하고 주차하는데만 50분걸리 먹거리 볼거리도 없고 사람에 치어 힘듦
1583,추석에도 활기찬 한강
1584,"자전거른 타러 갔는데 네이버에서는 여의나루역쪽 나가야 자전거 대여점이 있는걸루 나오는데, 고수부지에도 대여점 있어서 편했음"
1585,넓고 확 트인곳. 이런 곳이 많지 않다. 거기 큰 강물이  펼쳐 흐르니  부디 많은 이들이 위로를 받길  기원한다.
1586,절대 여러분 야외활동을 할거면 돗자리와 텐트는 가져오십시오 물 같은건 사지말고 그냥 가져오세요
1587,시원하고 넓은 시야를 가질 수 있는 한강의 경치와 잘 꾸며진 공원
1588,지금은 가면 좀 덥지만 날씨가 선선햐자면 정말 좋은곳이 될것같다
1589,깨끗하고 시원한 강변에서 풀밭을 베개 삼아 푸른하늘과 벗을 나누다.
1590,서울여행 필수코스. 돗자리 펴고 치맥하고 따릉이 좀 타다가 노을보면 완.벽.
1591,나들이하기 좋은 곳..아침 공기가 상쾌합니다.
1592,핫 핫 플레이스. 돗자리랑 텐트는 여의나루역 앞 계단에서 꼭 비교해보고 빌리시길!
1593,사람들 많이 오네요
1594,쉽게 접할 수 있는 한강공원. 아이들이 물놀이 할 수 있는 공간이 별도로 있어서 더 좋음.
1595,"마음 나른해짐, 최근 코로나때문에 못가고 있지만..다음에 다시 가보고 싶음"
1596,데이트 할때 종종간다. 이전번에 도깨비 야시장도 은근히 재밌었고. 근데 너무비싸 ㅠㅠㅠㅠ
1597,아주 좋습니다 정말 다시 한번 가고싶네요
1598,미세먼지만 없으면 최고인데.. 봄가을 주말앤 사람이 좀 많네요
1599,사람많은거 말고는 쉬기 너무 좋은 곳
1600,산책과레저좋은곳인데/오늘은차와사람많어서~빠꾸합니다
1601,여의도 한강공원. 봄이 오는 소리를 들으며
1602,깨끗하고 공원관리가 잘 되어있는듯요
1603,한강 둔치에서 야경과 함께 여유를 즐길 수 있는 좋은 곳이었습니다.
1604,전망이 좋다.
1605,자전거 타기도 텐트치고 놀기도 바람 쐬거나 걷기도 좋아요
1606,3-5월에 가면 사람도 너무 많고 음식물 쓰레기 냄새가 진동해요...ㅠㅠ
1607,추운 날씨로 나목만이 쓸쓸이 서있고  텅빈 공간을 세찬 바람이 흠치고 갈뿐...
1608,도심속에서느낄수있는자연확트인강에서마음의여유도찻아보아요
1609,벚꽃 축제를 즐기기는 좋음 하지만 매우매우 많은 사람들과 직면함
1610,가을 바람시원하고 특히 서울의 한강이 넘 아름답다는 걸 다시금 느꼈답니다
1611,노을이 지며 그곳에서 친두들과 함깨 먹고 미시면 그렇게 좋다~
1612,추웠지만 사람구경이 재밌다는걸 알게 됨
1613,사람 너무 많고 쓰레기 수거가 안되어 지저분함 그래도 도심지에 이런 공원이 없어 점수는 높게 줬어요
1614,"자전거 나들이, 조깅하기 너무 좋음 스트레스도 해소되고 만족"
1615,산책하기 좋은곳  ㅡ제발 쓰레기는 집에 가져가라 온동네가 악취가 난다
1616,주변에서 돗자리 대여해서 앉아있기 좋지만 앉아있으면 자꾸 전단지를 주셔서 좀 귀찮음
1617,바닷가출신 촌사람인 나는 상경한 후로 물을 못봐서 연가시처럼 향수병에 걸려있어서.. 한강따위라도 봐야 하겠어...
1618,사람도 많고 분위기도 좋아서 맥주한잔하기 딱이네요
1619,강변 산책하거나 운동하기에 좋음. 제반시설은 별거 없음.
1620,공원이 넓고 걸어다니기 좋게 되있어서 좋은데 주차가 힘듬
1621,언제나 좋아요!날씨나 공기만 좋다면!
1622,산책하고 피크닉하기 좋은데 휴일에는 사람이 너무너무너무 많음
1623,넓은잔디와 조형물들 산책하기에 아주좋아요
1624,시원하고 좋음 주차비는 좀 아까움
1625,무료 한국을 알수 있는 정원
1626,한강은 그냥 좋다
1627,산책하기 좋아요 제가 간 날은 영화촬영 중이더군요.
1628,바람쐬기에 매우 좋음 사람 항상 많고 자전거 애들 충돌 사고 매우 잦음
1629,좋은시간이었어요^-^
1630,I SEOUL YOU 에서 사진찍는 사람이 많아요. 여의나루역에 내리시면 됩니다.
1631,전단지 너무 불편해요
1632,비교적 공원 시설 관리가 잘 되있다 한강 수질과 자연환경을 생각하게 만든다
1633,시민공원이지만   주차요금은  특정시민공원으로  변질   누구나  부담없이  찾는  주차요금으로....
1634,산책 레즈등 다양한 야외활동을 할 수 있는곳
1635,푸드트럭도 많고 러닝하기 좋아요😀😀…
1636,여름에 오시면 원두막도 있고 데이트 마지막에 오기에 적합한 장소입니다.
1637,태안 이호연 김송순 최도흠 김송훈
1638,미어터짐 평일 낮인데 인파가 엄청남
1639,시원하고 힐링하기 좋고 라면은 국룰
1640,자전거타기 좋고 달리기하기 좋음 인라인 스케이트 편의점도 많음
1641,"걷고 마시고 놀기에 좋은 ""접근성 높은"" 서울시민의 휴식처"
1642,"버스킹도 좋고 간단 안주도 많이 팔고, 혼술 잘하고 옴"
1643,"친구,가족들 끼리 산책하기도 좋고, 가끔 와서 치맥도 먹기 좋음,"
1644,여기는혼자 생각을정리 하는곳.
1645,5인이상 집합금지인데 왜 5명에서 놀고있는지 몰르겠내요 ㅠㅠ 그래도 제미있게 놀다갑니다
1646,역에서 나오자마자 보이는 한강. 놀러온 많은 사람들. 시끌벅적하고 항상 활기가 넘치는 곳.
1647,서울에  명소이죠  한강  유람선  갈메기가  잇는곳  바다느낌을  느낄수잇는곳  바로여의공원이기에
1648,그냥 좋다. 갠적으론 텐트 치고 힐링하는게 최고다
1649,넓디넓은 한강을 시원하게 바라보며 씽씽자전거가 달려갑니다~~~^^
1650,내가 간 날은 너무 추웠지만 다음에 단단히 대비하고 가보고싶은곳 전단지는 너무 많아 ㅠㅠ
1651,아주 좋아요..술먹고 돌아다니지 마세요.. 강물에 빠져요..
1652,카드로 결제하면 돈 더 내야돼서 불편하네요
1653,돗자리충 노점충좀 정리했으면 좋겠다. 해가 지날수록 점점 늘어나네
1654,젊은 시람들천국 저녁공기가 너무상쾌하며 모든 편리함을 깆춘 휴식처잘관리해아겠죠
1655,지상천국이예요 더더군다나 교통이 편리해서요
1656,여의도 벚꽃축제
1657,"간만에 콧바람쐬고 좋았네여,, 의정부시민,., 간만에 여의도까지,,,^^ 많은 사람들에 비해서 질서있게 청결하게 지내주셔서 감사하기까지하더군요,,ㅎ^^"
1658,시원 하고 마음의 여유를 만끽하기에 안성 맞춤이네요.
1659,간단하게 즐길수 있는 장소 길거리 음식은 매우 비싸다
1660,불꽃놀이 재미있었습니다!
1661,가을 봄 방뮨 추천 여름이라면 밤에 너뮤 더움
1662,나무가 기괴하고 어딘지 바닷가같은 분위기가 났다. 그러나 을씨년스러운 분위기가 있어 나는 뚝섬이 더 좋았던거 같다.
1663,저녁에 사람들 별로 없을 때 자전거 타보길 추천한다
1664,서울은 한강이 있고 여의도에 공원이 잘되어있어서 진짜 짱이다
1665,전단지로 돗자리 가능. 모든곳이 포토존 + 밤도깨비 야시장 시즌에 가면 재미가 두배.
1666,시원하고 좋네요. 다음에 다시 가서 유람선도 타보고 싶네요.
1667,강추위라서 사람도없고 조용해서 좋아요
1668,더 덥고 습해지기전에 빨리 갔다오면 좋을거같아요
1669,한강은 서울에서 살면 한번은 가는 장소죠 좋은 공원입니다
1670,사람이 몰릴때는 사람 반 쓰레기 반.
1671,도심속 최고의 휴식처!  바로앞 유람선까지
1672,"넓고, 편하고, 시원함. 곳곳에 편의점도 있고 아주 좋음"
1673,현재는 공사중인 곳이 있어 자전거 라이딩은 불편 합니다.
1674,더운 여름철 한밤중 피크닉 국
1675,언제와도 좋은 곳. 2인자전거 타던 그때가 그립다!
1676,연인끼리 친구끼리 많이와 즐거운 주말 보내기 좋네요.
1677,주말에는 사람이 많음 편하게 놀 수 있지만 사람이 많아서 더러운 곳은 있음
1678,사진찍기 좋습니다
1679,경치는 좋은데 돗자리 1시간에 5천원 넘 비싸요
1680,코로나로 제한적이용가능
1681,불꽃놀이 갔는데 사람 엄청 많음. 그래도 불꽃놀이 후회가 없다
1682,너무 좋았어요~
1683,공연도 먹을거리도 수십개씩
1684,연인들...과 오기 좋을 것 같아요. 주변에 커플 진짜 많아요. 전 여친이 없지만
1685,한강경치 죽여줍니다. 겨울철엔 바람쌩쌩불어 산책하기 어려운데 봄여름에 끝내줘요
1686,바람굿.소풍으로굿~하지만 필수아이템.돗자리.담요.커피~~
1687,너무 멋진 휴식 공간
1688,잡지좀 못돌리게 했으면 합니다.
1689,친구들이랑 같이 계산할때 카드가 있다면 반으로 잘라버리세요
1690,겨울 빼고 언제나 가기 좋은 곳. 여의나루 역 주변에서 멀어질수록 쾌적
1691,사람이 많다는 것 만 뺀다면..
1692,시원한 강바람과 간식거리 여러모로 나들이하기 좋아요
1693,우리나라 최고의 공원~활력있고 조아보임 푸드트럭이 상시 있었으면좋겠음 조금 아쉽아쉽~
1694,사람이 많습니다. 사람구경하기좋네요
1695,날씨가 너무 좋았습니다. 더 더워지기 전에 다들 다녀오세요~ㅎㅎ
1696,"주말에가면 쓰레기장임,쓰레기냄새,술냄새남 공원이아니라 애들헌팅술집인줄암 여름성수기해수욕장처럼되가고있음"
1697,완전좋음!! 텐트 꼭 대여해요. 아님 더워요
1698,여의나루 역 출구의 무차별적인 전단지 배포만 빼면 좋은 공원 분위기
1699,인간 오지게 많네 불꽃축제
1700,한강 요즘 사람좀 적나..? 그래도 여전히 많은데 마스크 잘낍시다. 한달전에는 장말 다 벗었더라구요.
1701,전체적으로 분위기가 정말 밝아서 가만히 있어도 기분이 상쾌해지는 곳
1702,"벗꽃, 낮에도 밤에도 이뿌다"
1703,돗자리 없이 가도 역 근처에 돗자리 대여 등 해주는 곳 많아요
1704,돗자리 곳곳에 음기와 양기의 조화가 가득합니다. 거 모텔 가십쇼
1705,한강뷰를 바라보면서 맛있는거 먹으면 좋습니다 연인들하고 한번 가보세요
1706,날씨좋은날엔 역시 한강이쥐. 단!! 주차료는 헉!?한다네~
1707,너무 좋아요
1708,날 좋은날 한강만큼 좋은 곳이 있으려나- 외국 부럽지 않습니다 ㅎㅎ
1709,한강 라이프 가끔씩 가기에 좋습니다. 20대초반이 많아 시끌벅쩍하네요
1710,가장 자주 가는 한강공원! 한강과 남산을 함께 볼 수 있어서 좋다.
1711,자전거 타기 산책하기 좋으니 사먹거나 도시락을 사와도 좋습니다
1712,시원하게 잘다녀오긴 했는데 편의시설이 별로였어요.
1713,늘 산책하기 좋은 공간
1714,돗자리 깔고 잠깐 바람쐬기 좋아요.
1715,언제가도 기분좋은 한강공원 쓰레기가 많아지는건 참 안타깝습니다
1716,한강이 좋아요!
1717,한번쯤 노상하고픈 곳
1718,늘 혼자 다녔는데 언젠가는 연인과 같이 다니고 싶은.
1719,한강도 볼 수 있고  쉬어 갈수도 있고 보고 있으면 마음이 편안해져요!
1720,한강은 힐링 그 자체죠•• 근데 이 곳이 출퇴근 하는 길이 되니까 로망과 내 좋은 추억들이 사라져버림•• ㅋㅋㅋㅋㅋ 진짜••• 주말 출근 하는 날이면 여기 길막하는 사람들 다 밀어버리고 싶고 •• 하•• ㅠㅠ
1721,전국체전행사 참여 그리고 먹거리 선선한 날씨 좋았어요
1722,자전거타고 놀다가 물빛광장에서 물에 발도 담그고 좋았어요
1723,그냥 밤에 산책하기 좋다
1724,데이트하기 딱 좋은 장소 역시 한강공원이 최고에요 !!
1725,날씨만 좋으면 금상첨화
1726,항상 이쁘고 사람많고 전 좋아합니다 재밋는 곳이에요
1727,공원은 좋지만 사람이 너무 많습니다. 특히 여자화장실 줄이 어미어마하게 깁니다.
1728,누구와 가도 즐겁겠지만 특별한 누군가과 함께 갔을때 정말 좋다.
1729,사람 바글바글   도깨비마켓은 비싸고  음식은 줄 1시간이고...  축제ㅏ닐때 가면좋을곳
1730,러닝하기 좋은곳
1731,날씨가 맑으면 너무 좋은데... 전단지가 너무 많아요 ㅠ
1732,분위기나 시설은 아주 좋습니다. 사람이 너무 많은 감이 없지 않아 있습니다.
1733,비둘기 넘 많고 지저분함 여기저기서 흡연하고 고성방가 지르는 사람도 많았음
1734,걷기 좋고 산책하기 좋고 조깅하기 좋고 워킹하기 좋고 뛰기 좋은 장소이기 때문이랄까?
1735,늘 좋다 항상 좋다 아무생각 안하고 공원의 평화로움 느끼기
1736,최고입니다 야경이 너무 아름다운 풍경입니다
1737,여자화장실 줄이 너무 길고 나중엔 물이 소진됐는지 변기 안내려가요..드럽.. 다른 한강공원으로 가세요
1738,시설좋고 편리합니다 가족 휴식처로 제격입니다
1739,편의점 끓인라면은 내가 맛본 라면중 최고!👍…
1740,월요일 점심이라 그런지 한적하고 좋았어요
1741,제발 한강에서 주문하고 전화 좀 받자. 그 넓은곳에서 전화도 안받는데 어떻게 주냐
1742,연인과 데이트하기 좋은 장소가 확실하네요 ㅎㅎ
1743,한화불꽃축제! 기다리는중
1744,가끔 오면 좋은곳
1745,잘다녀갑니다 ~~
1746,언제와도 좋습니다. :-)
1747,여긴..사람이 너무 많을때 간건가. 진짜 사람이 너어어어무 많았어요. 저는 이곳보다는 뚝섬?같은 쪽이 더 좋더라구요
1748,관리가 잘되어있음 구걸하시는분들땜에 조금 불편했음 음식먹는데 와서 달라함
1749,주멀 밤인데 사람 많아요 밤도깨비 야시장 구경거리 먹을거리 많네요
1750,여의도 불꽃축제 보러갔는데 좋은자리에서 잘봤어요 ㅎㅎ 추억하나 쌓았네요><
1751,여기 보트태워주는곳 너무좋음 진심 항상 정신없어보이는데 할땐잘해줌
1752,한강뷰 좋음. 역에서 접근성 좋음. 역앞은 시장바닥임.
1753,날씨 좋아서 참 좋네요. 볼거리 즐길거리 많아요
1754,주말에 산책하기 좋은 곳~ ㅎㅎㅎ
1755,미세먼지만 없으면 참 좋을듯
1756,"전단지, 노점상, 양아치들 없는 때에 가세요! 불꽃축제 같은 시즌은 피하셔야합니다!"
1757,늘 아름다운 한국의 명소
1758,코로나시국에 갈수 있는 장소.
1759,춥다 겨울이라.... 라면도 빨리 식는다 이걸 먹는 내친구와 내가 정말 처절해 보였다
1760,노을 참 예뻤습니다ㅇ
1761,좋았슴.  주차장소가 용이하지못함.대중교통을 권장하고 싶음!
1762,공원근처 화장실있고요 또는 여의도나루역에도 화장실잏읍니다
1763,산책하기 좋고 풍경도 마음에 듭니다.
1764,불꽃축제 관람
1765,서울의 최고명소 중 하나. 강바람쐬는 시간은 항상 행복.
1766,사람이 많아서 강을 구경하러 온건지 사람을 보러온건지 몰라도 촌놈 서울살이 하는 느낌이 들어서 좋았음.
1767,경치가 좋아영
1768,와...사람 터져나가요ㅠㅠㅠㅠ 진짜 화장실 줄 30-40명 서있고 편의점에 줄 50명 넘게 서있고 진짜 사람에 엄청 치입니다ㅠ
1769,라면 꼭 끓여먹으세요 여의나루역 나오면 미니스탑 바로있습니다~
1770,경치가 좋은 카페에서 커피 마실 수 있어요
1771,한강이 바라보이는 곳에 가서 보니 가치있는 공원의 본 모습이 숨겨져 있습니다.
